7688-11778,Alekhine Defense,,e4 Nf6
7751,Amar Opening,,Nh3
7681,Anderssen Opening,,a3
7686-11758,Australian Defense,,d4 Na6
7688-11441,Barnes Defense,,e4 f6
7688-11435,Caro-Kann Defense,,e4 c6
7688-11445,Carr Defense,,e4 h6
7695,Clemenz Opening,,h3
7688-11440,Duras Gambit,,e4 f5
7686-11440,Dutch Defense,,d4 f5
7686-11433,English Defense,,d4 b6
7684,English Opening,,c4
7684-11439,English Opening,Agincourt Defense,c4 e6
7684-11440,English Opening,Anglo-Dutch Defense,c4 f5
7684-11778,English Opening,Anglo-Indian Defense,c4 Nf6
7684-11760,English Opening,Anglo-Lithuanian Variation,c4 Nc6
7684-11436,English Opening,Anglo-Scandinavian Defense,c4 d5
7684-11435,English Opening,Caro-Kann Defensive System,c4 c6
7684-11443,English Opening,Great Snake Variation,c4 g6
7684-11432,English Opening,Jaenisch Gambit,c4 b5
7684-11438,English Opening,King's English Variation,c4 e5
7684-11434,English Opening,Symmetrical Variation,c4 c5
7686-11438,Englund Gambit,,d4 e5
7688-11439,French Defense,,e4 e6
7688-11444,Goldsmith Defense,,e4 h5
7692,Grob Opening,,g4
7688-11779,Hippopotamus Defense,,e4 Nh6
7686-11439,Horwitz Defense,,d4 e6
7686-11778,Indian Game,,d4 Nf6
7694,Kadas Opening,,h4
7688-11758,Lemming Defense,,e4 Na6
7687,Mieses Opening,,d3
7686-11760,Mikenas Defense,,d4 Nc6
7688-11760,Nimzowitsch Defense,,e4 Nc6
7683,Nimzowitsch-Larsen Attack,,b3
7683-11432,Nimzowitsch-Larsen Attack,Polish Variation,b3 b5
7686-11434,Old Benoni Defense,,d4 c5
7688-11433,Owen Defense,,e4 b6
7688-11437,Pirc Defense,,e4 d6
7686-11432,Polish Defense,,d4 b5
7682,Polish Opening,,b4
7682-11434,Polish Opening,Birmingham Gambit,b4 c5
7682-11440,Polish Opening,Dutch Defense,b4 f5
7682-11760,Polish Opening,Grigorian Variation,b4 Nc6
7682-11435,Polish Opening,Outflank Variation,b4 c6
7682-11432,Polish Opening,Symmetrical Variation,b4 b5
7750,Reti Opening,,Nf3
7685,Saragossa Opening,,c3
7688-11436,Scandinavian Defense,,e4 d5
7688-11434,Sicilian Defense,,e4 c5
7731,Sodium Attack,,Na3
7732,Van Geet Opening,,Nc3
7689,Van't Kruijs Opening,,e3
7688-11430,Ware Defense,,e4 a5
7680,Ware Opening,,a4
7690,Bird's Opening,,f4
7686,Queen's Pawn Opening,,d4
7686-11435,Queen's Pawn Opening,,d4
7691,Barnes Opening,,f3
7688,King's Pawn Opening,,e4
7693,King's Fianchetto Opening,,g3
7688-11443,Modern Defense,1.e4,e4 g6
7688-11431,King's Pawn Opening,St. George Defense,e4 a6
7688-11442,King's Pawn Opening,Borg Defense,e4 g5
7686-11443,Modern Defense,1.d4,d4 g6
7686-11431,Queen's Pawn Opening,St. George Defense,d4 a6
7686-11442,Queen's Pawn Opening,Borg Defense,d4 g5
7750-11439,Reti Opening,Queen's Gambit Invitation,Nf3 e6
7750-11437,Reti Opening,Pirc Invitation,Nf3 d6
7750-11440,Reti Opening,Dutch Variation,Nf3 f5
7750-11443,Reti Opening,Kingside Fianchetto Variation,Nf3 g6
7750-11434,Reti Opening,Sicilian Invitation,Nf3 c5
7750-11760,Reti Opening,Black Mustang Defense,Nf3 Nc6
7750-11435,Reti Opening,Slav Invitation,Nf3 c6
7750-11433,Reti Opening,Queenside Fianchetto Variation,Nf3 b6
7750-11432,Reti Opening,Polish Defense,Nf3 b5
7750-11438,Reti Opening,Ross Gambit,Nf3 e5
7750-11431,Reti Opening,St. George Defense,Nf3 a6
7750-11445,Reti Opening,Basman Defense,Nf3 h6
7750-11758,Reti Opening,Herrstrom Gambit,Nf3 Na6
7750-11430,Reti Opening,Ware Defense,Nf3 a5
7750-11441,Reti Opening,Arctic Defense,Nf3 f6
7693-11778,King's Fianchetto Opening,Indian Defense,g3 Nf6
7693-11440,King's Fianchetto Opening,Dutch Defense,g3 f5
7693-11443,King's Fianchetto Opening,Symmetrical Variation,g3 g6
7693-11434,King's Fianchetto Opening,Sicilian Invitation,g3 c5
7693-11444,King's Fianchetto Opening,Lasker Simul Special,g3 h5
7693-11442,King's Fianchetto Opening,Myers Defense,g3 g5
7683-11438,Nimzowitsch-Larsen Attack,Modern Variation,b3 e5
7683-11436,Nimzowitsch-Larsen Attack,Classical Variation,b3 d5
7683-11778,Nimzowitsch-Larsen Attack,Indian Variation,b3 Nf6
7683-11434,Nimzowitsch-Larsen Attack,English Variation,b3 c5
7683-11433,Nimzowitsch-Larsen Attack,Symmetrical Variation,b3 b6
7683-11440,Nimzowitsch-Larsen Attack,Dutch Variation,b3 f5
7690-11436,Bird's Opening,Dutch Variation,f4 d5
7690-11438,Bird's Opening,From's Gambit,f4 e5
7690-11779,Bird's Opening,Horsefly Defense,f4 Nh6
7690-11432,Bird's Opening,Myers Defense,f4 b5
7690-11442,Bird's Opening,Hobbs Gambit,f4 g5
7732-11438,Van Geet Opening,Reversed Nimzowitsch Variation,Nc3 e5
7732-11431,Van Geet Opening,St. George Defense,Nc3 a6
7682-11758,Polish Opening,Bucker Defense,b4 Na6
7687-11438,Mieses Opening,Reversed Rat Variation,d3 e5
7692-11442,Grob Opening,Double Grob Variation,g4 g5
7692-11779,Grob Opening,Bucker Defense,g4 Nh6
7694-11430,Kadas Opening,Koola-Koola Variation,h4 a5
